Time_s,depth_mm
4.626405954,7.070910266
4.635578156,7.071359521
4.644786835,7.070994668
4.655792713,7.071218052
4.689901829,7.071563063
4.699379206,7.072287793
4.708474636,7.072111586
4.719281912,7.071766575
4.754104614,7.072630317
4.763290167,7.072588116
4.772586823,7.072799091
4.783447504,7.073538718
4.827455282,7.07336251
4.836756706,7.073288059
4.845952988,7.073645449
4.855720282,7.074032661
4.891881466,7.074069887
4.900913477,7.074037607
4.910349846,7.07446702
4.921584606,7.074732575
4.956270695,7.075161958
4.965536833,7.074955958
4.974581242,7.075256281
4.984023094,7.075211622
5.024039507,7.075876797
5.033533096,7.076107614
5.042609453,7.07563603
5.051731825,7.075911535
5.099984646,7.076055492
5.108998775,7.076633808
5.118056536,7.076658625
5.129406929,7.076807557
5.173870564,7.07675046
5.183007956,7.077177356
5.19206953,7.077375922
5.203813553,7.077063191
5.24527359,7.077244374
5.254714489,7.077797872
5.26393342,7.078132933
5.274924755,7.078472969
5.317008972,7.078703815
5.325939417,7.078393542
5.33531189,7.078348883
5.346648216,7.078517657
5.387574196,7.079225034
5.396836519,7.078942065
5.40599823,7.07876337
5.417357683,7.079485643
5.458541393,7.079649442
5.467659473,7.079681722
5.477028847,7.079959715
5.48816514,7.080260038
5.530256033,7.080572769
5.539383411,7.08047347
5.5485847,7.080629836
5.560092688,7.080726646
5.603684425,7.08142656
5.612852812,7.080823457
5.621942282,7.081612718
5.630950689,7.081828668
5.676575422,7.081513449
5.685698032,7.081344675
5.694793701,7.081754187
5.705451727,7.082213363
5.752286673,7.082258052
5.761348963,7.082362295
5.770426512,7.082094223
5.78183794,7.082719715
5.827087879,7.082888489
5.836171389,7.082858697
5.845137596,7.082699843
5.856166363,7.083024983
5.902662039,7.083536281
5.911726236,7.083121793
5.920800447,7.083357586
5.93250823,7.083111873
5.978462219,7.083690158
5.987432957,7.084273449
5.996449709,7.084109621
6.005982399,7.084149334
6.054826736,7.084476961
6.063911676,7.085022997
6.072924376,7.084643248
6.083295584,7.084951033
6.130139589,7.085531837
6.13917613,7.085432539
6.148280859,7.085427593
6.157288551,7.085057765
6.204861879,7.086149836
6.21407485,7.085904123
6.223032236,7.085700611
6.236487627,7.086358323
6.282589197,7.086313664
6.291662931,7.085742782
6.300689459,7.086628883
6.309729576,7.086445213
6.358809948,7.087028474
6.367830992,7.087294059
6.376987696,7.087224553
6.387237072,7.087053291
6.432549477,7.087294059
6.441655397,7.087557156
6.450839758,7.08799646
6.460660458,7.087931929
6.504356384,7.088338983
6.513762236,7.08829927
6.522674322,7.088584696
6.533855438,7.088036173
6.576180696,7.088626897
6.585228443,7.089068689
6.594314337,7.088686452
6.603836775,7.088773342
6.648930073,7.089058768
6.658000708,7.089289585
6.667443037,7.089542761
6.682831049,7.089150603
6.720584631,7.089232518
6.729577541,7.089915047
6.738624096,7.089979577
6.75040555,7.089165499
6.794127226,7.090741563
6.803517342,7.09004165
6.812576532,7.090036675
6.826410055,7.090406503
6.867280483,7.090890496
6.87631011,7.09058271
6.885549068,7.091148617
6.899483681,7.091126288
6.940457821,7.091084087
6.94949007,7.091166001
6.958621264,7.091908116
6.969770193,7.091833664
7.012834311,7.091945341
7.021924019,7.091913091
7.030917406,7.09166489
7.042891741,7.091950317
7.087309361,7.09249884
7.096481562,7.0923797
7.105495453,7.092424389
7.115879774,7.092533578
7.17078805,7.092536065
7.180068254,7.092699864
7.189080238,7.09276937
7.200086117,7.092188596
7.244189262,7.093707563
7.253414869,7.092809083
7.262521029,7.093233521
7.271709442,7.093427112
7.318527222,7.093583478
7.327827692,7.093933434
7.33696723,7.094256116
7.348625898,7.093635599
7.391237497,7.094352897
7.400525808,7.094084854
7.4095366,7.094320646
7.421525717,7.094176689
7.464167595,7.095015584
7.473582268,7.094581256
7.482612133,7.094826969
7.493889332,7.094817048
7.538487673,7.095127291
7.547484159,7.095293578
7.556775331,7.095184388
7.565945864,7.095330803
7.611110687,7.095809851
7.620502472,7.096231771
7.629652023,7.096090301
7.641411304,7.09628638
7.684947252,7.096435313
7.694070578,7.096551965
7.703672409,7.096062997
7.714400768,7.096745556
7.759380817,7.09649241
7.768522024,7.097078159
7.777557135,7.097068238
7.787216187,7.096760452
7.835395098,7.097045879
7.844419003,7.097328847
7.853653669,7.097666395
7.86294198,7.097502567
7.909086466,7.097614273
7.918265343,7.097624194
7.927330971,7.098031248
7.938886166,7.097750767
7.982945442,7.098279449
7.992095709,7.098217406
8.001449108,7.098582259
8.012446404,7.098458144
8.062361956,7.099083606
8.071355343,7.098286882
8.08052206,7.099024051
8.091175318,7.098852789
8.140027761,7.099254868
8.14900589,7.099212697
8.158053398,7.099031484
8.169833422,7.099120861
8.215203047,7.099917585
8.224500895,7.099527885
8.233658314,7.099043893
8.242800713,7.099570086
8.289113283,7.100448725
8.298413515,7.09988033
8.307784081,7.100034238
8.320405722,7.099860488
8.358800888,7.100560431
8.367913723,7.100495871
8.377054691,7.100195548
8.38593936,7.099835671
8.429250717,7.100456158
8.438638449,7.100803657
8.447741747,7.10132985
8.458715677,7.101024553
8.499067307,7.10147132
8.508385181,7.101483728
8.517488241,7.101600381
8.527313948,7.101647527
8.568958998,7.101880861
8.578003645,7.101605356
8.587386131,7.101890782
8.59724021,7.101592947
8.639320612,7.102766933
8.648473024,7.102598159
8.657577991,7.102439305
8.667203188,7.102260611
8.709194899,7.102608079
8.718747139,7.10327823
8.728205919,7.1023698
8.740638256,7.102846359
8.778529167,7.103322889
8.787876368,7.103097048
8.797040701,7.102923298
8.80822587,7.103236029
8.850511074,7.103072201
8.859817743,7.103514022
8.869045734,7.103695205
8.879040241,7.103638108
8.922116041,7.10342962
8.931485176,7.10405757
8.940818071,7.103945893
8.953205109,7.104236265
8.991698742,7.104218911
9.000889778,7.104154381
9.009998083,7.104362868
9.022028446,7.104367814
9.063888311,7.104417478
9.073441505,7.104727721
9.082582712,7.105251427
9.092469454,7.104980897
9.133639336,7.105065269
9.142764568,7.10483694
9.151987553,7.105554237
9.163187981,7.105512036
9.202962875,7.105665914
9.212068796,7.105509549
9.221220732,7.106015871
9.232563972,7.105556725
9.284893036,7.106219413
